rank,symbol,date,entry,stop,target_2R,risk_per_share,shares_for_100eur,invest_eur,deckel,hi250
64,MAC,2026-02-04,19.3,18.76,20.38,0.54,185,3574.0,19.18,21.0
65,PTEN,2026-02-04,7.95,7.73,8.39,0.22,454,3614.0,7.85,9.3
66,SPG,2026-02-04,195.59,190.22,206.33,5.37,18,3642.0,193.5,193.5
67,BNTGY,2026-02-04,13.37,13.02,14.07,0.35,285,3820.0,12.23,14.82
68,EIX,2026-02-04,63.46,61.81,66.76,1.65,60,3846.0,63.19,63.19
69,NPO,2026-02-04,252.97,246.65,265.61,6.32,15,4003.0,248.87,248.88
70,CINF,2026-02-04,168.95,164.83,177.19,4.12,24,4101.0,168.22,169.86
71,RS,2026-02-04,346.73,338.52,363.15,8.21,12,4223.0,338.66,347.44
72,CARR,2026-02-04,63.55,62.08,66.5,1.47,67,4308.0,61.37,81.09
73,NSC,2026-02-04,306.84,299.75,321.02,7.09,14,4328.0,300.42,302.24
74,TRNO,2026-02-04,64.44,62.98,67.36,1.46,68,4414.0,63.17,69.2
75,DEO,2026-02-04,97.26,95.1,101.58,2.16,46,4503.0,93.53,116.69
76,NOV,2026-02-04,19.38,18.95,20.24,0.43,232,4507.0,19.22,19.22
77,ZEUS,2026-02-04,52.17,51.04,54.43,1.13,88,4617.0,51.82,51.82
78,INVA,2026-02-04,21.48,21.02,22.4,0.46,217,4670.0,21.42,22.76
79,KIM,2026-02-04,21.51,21.05,22.43,0.46,217,4676.0,21.15,23.03
80,CPK,2026-02-04,130.88,128.09,136.46,2.79,35,4691.0,130.62,140.59
81,VLO,2026-02-04,197.41,193.24,205.75,4.17,23,4734.0,194.5,194.5
82,IBOC,2026-02-04,74.19,72.63,77.31,1.56,64,4756.0,73.66,73.66
83,MSI,2026-02-04,416.3,407.55,433.8,8.75,11,4758.0,410.0,492.22
84,TRV,2026-02-04,295.22,289.1,307.46,6.12,16,4824.0,295.1,296.85
85,BMY,2026-02-04,57.62,56.43,60.0,1.19,84,4842.0,57.04,63.33
86,LCII,2026-02-04,154.29,151.11,160.65,3.18,31,4852.0,151.85,151.85
87,OUT,2026-02-04,26.02,25.49,27.08,0.53,188,4909.0,25.51,25.51
88,GBCI,2026-02-04,53.19,52.11,55.35,1.08,92,4925.0,52.14,52.14
89,COP,2026-02-04,107.59,105.46,111.85,2.13,46,5051.0,105.72,106.2
90,O,2026-02-04,62.46,61.25,64.88,1.21,82,5162.0,61.95,61.95
91,BKR,2026-02-04,59.17,58.03,61.45,1.14,87,5190.0,58.5,58.5
92,ELS,2026-02-04,65.56,64.32,68.04,1.24,80,5287.0,64.49,70.35
93,PR,2026-02-04,16.61,16.3,17.23,0.31,322,5358.0,16.25,16.25
94,GTY,2026-02-04,30.59,30.02,31.73,0.57,175,5367.0,30.24,32.17
95,ECL,2026-02-04,288.16,282.85,298.78,5.31,18,5427.0,286.01,286.04
96,CHD,2026-02-04,100.59,98.79,104.19,1.8,55,5588.0,99.35,116.46
97,CFFI,2026-02-04,80.99,79.59,83.79,1.4,71,5785.0,79.6,89.9
98,ALSN,2026-02-04,114.2,112.28,118.04,1.92,52,5948.0,113.45,117.07
99,TGT,2026-02-04,114.13,112.27,117.85,1.86,53,6136.0,112.96,137.05
100,KRP,2026-02-04,13.7,13.48,14.14,0.22,454,6227.0,13.63,16.14
101,HIG,2026-02-04,140.86,138.79,145.0,2.07,48,6805.0,140.5,140.5
102,DEA,2026-02-04,23.77,23.44,24.43,0.33,303,7203.0,23.74,29.49
103,LRLCY,2026-02-04,94.29,93.09,96.69,1.2,83,7857.0,93.21,95.1
104,MO,2026-02-04,65.16,64.41,66.66,0.75,133,8688.0,64.53,68.6
105,KKPNY,2026-02-04,5.33,5.27,5.45,0.06,1666,8883.0,5.08,5.08
106,STAG,2026-02-04,39.1,38.66,39.98,0.44,227,8886.0,39.0,39.73
107,PSTL,2026-02-04,18.73,18.52,19.15,0.21,476,8919.0,18.66,18.66
108,IMBBY,2026-02-04,44.54,44.09,45.44,0.45,222,9898.0,44.23,44.23
109,DHLGY,2026-02-04,58.55,58.0,59.65,0.55,181,10645.0,57.29,57.29
110,ISNPY,2026-02-04,43.51,43.12,44.29,0.39,256,11156.0,43.27,43.27
111,BRRLY,2026-02-04,17.92,17.82,18.12,0.1,999,17920.0,17.5,17.5
112,DUFRY,2026-02-04,6.24,6.21,6.3,0.03,3333,20800.0,6.19,6.19
113,DAY,2026-02-03,69.86,69.62,70.34,0.24,416,29109.0,69.65,72.28
