isin,ticker
AU000000MLX7,MLX
AU000000MMI6,MMI
AU000000MND5,MND
AU000000MPL3,MPL
AU000000MQG1,MQG
AU000000MRC8,MRC
AU000000MSB8,MSB
AU000000MTC4,MTC
AU000000MTS0,MTS
AU000000MVF3,MVF
AU000000MYR2,MYR
AU000000MYX0,MYX
AU000000NAB4,NAB
AU000000NAG3,NAG
AU000000NAN9,OQS
AU000000NCK1,NCK
AU000000NEC4,NEC
AU000000NGI6,NGI
AU000000NGY3,NGY
AU000000NHC7,NHC
AU000000NHF0,NHF
AU000000NMT1,9R9
AU000000NOR1,NOR
AU000000NST8,NST
AU000000NTD0,NTD
AU000000NTU4,NTU
AU000000NUF3,NUFMF
AU000000NVA2,NVA
AU000000NVX4,NVX
AU000000NWH5,NWH
AU000000NWS2,NWS
AU000000NXT8,NXT
AU000000ODY8,ODQ
AU000000OEC2,OEC
AU000000OEL3,OEL
AU000000ORA8,ORA
AU000000ORG5,ORG
AU000000ORI1,ICA
AU000000PAR5,PAR
AU000000PCL4,PCOGF
AU000000PDN8,PDN
AU000000PEN6,PEN
AU000000PEX5,PEX
AU000000PGC4,PGC
AU000000PGH3,PGH
AU000000PGM3,PGM
AU000000PIC0,PIC
AU000000PLS0,PLS
AU000000PNR8,PNR
AU000000PNV0,PNV
AU000000POD6,POD
AU000000PPT9,PPT
AU000000PRU3,P4Q
AU000000PSC9,PSC
AU000000PWN8,PWN
AU000000QAN2,QAN
AU000000QBE9,QBE
AU000000QUB5,QUB
AU000000RCE5,RCE
AU000000REA9,REA
AU000000RFF5,RFF
AU000000RGL1,RGL
AU000000RHC8,RHC
AU000000RIC6,RIC
AU000000RIO1,RIO
AU000000RMD6,RMD
AU000000RMS4,RRZ
AU000000RNU8,RNU
AU000000RRL8,RGRNF
AU000000RSG6,RSM
AU000000RUL2,4Q3
AU000000RWC7,RWC
AU000000S320,S32
AU000000SBM8,SBM
AU000000SCG8,SCG
AU000000SDF8,SDF
AU000000SDV5,INFA
AU000000SEK6,SLD
AU000000SER1,SER
AU000000SFR8,SFRRF
AU000000SGM7,SGM
AU000000SGP0,SGP
AU000000SGR6,SGR
AU000000SHL7,SAB
AU000000SHV6,SHV
AU000000SIG5,SIG
AU000000SIQ4,SIQ
AU000000SLC8,SLC
AU000000SLX4,SLX
AU000000SMR4,SMR
AU000000SOM1,SOMNF
AU000000SPL0,SPL
AU000000SPZ0,SPZ
AU000000SRN2,SRN
AU000000SSM2,SSM
AU000000STM0,STM
AU000000STO6,STO
AU000000STX7,RJN
AU000000SUH8,SUH
AU000000SUL0,SUL
AU000000SUN6,SU4
AU000000SVL8,SVL
AU000000SVM6,SVM
AU000000SWM4,WANHF
AU000000SXL4,SXL
AU000000SYR9,SYR
AU000000TAH8,TAH
AU000000TAR7,TAR
AU000000TBR5,TBR
AU000000TCL6,TCL
AU000000TDO8,MUE
AU000000TER9,TER
AU000000TLG7,TLG
AU000000TLM5,TLM
AU000000TLS2,TLS
AU000000TLX2,TLX
AU000000TNE8,TNE
AU000000TON7,TON
AU000000TPC7,TPC
AU000000TPW5,TPW
AU000000TWE9,TWE
AU000000TYX5,TYX
AU000000VCX7,C98
AU000000VML1,VML
AU000000VRC9,VRC
AU000000WAF6,WAF
AU000000WBC1,WBC
AU000000WBT5,WBT
AU000000WEB7,WBJ
AU000000WEC5,WEC
AU000000WES1,WES
AU000000WGN7,WGN
AU000000WGX6,WGX
AU000000WHC8,WC2
AU000000WOR2,WOR
AU000000WOW2,WOW
AU000000WTC3,WTC
AU000000YAL0,YAL
AU000000ZLD1,ZLD
AU000000ZNC9,ZNC
AU0000010464,WOA
AU0000012098,E25
AU0000013559,ALX
AU0000016875,VEA
AU0000017071,WQG
AU0000018236,NIC
AU0000021461,GLN
AU0000026122,CRN
AU0000028367,HMD
AU0000030645,CQE
AU0000030678,COL
AU0000031411,GIB
AU0000033359,HLS
AU0000035701,TGM
AU0000036949,A1G
AU0000040982,SGLLV
AU0000043945,ATH
AU0000045098,360
AU0000047441,AVE
AU0000049033,A1M
AU0000053373,HRZ
AU0000053522,VR8
AU0000054322,FCL
AU0000054587,MAN
AU0000058737,LOT
AU0000058943,HMC
AU0000061897,PRN
AU0000062440,MIO
AU0000066086,VUL
AU0000066169,BXRDF
AU0000067092,GNM
AU0000067936,RML
AU0000068579,REE
AU0000070328,PRM
AU0000071482,EGR
AU0000072019,U40
AU0000074221,TD1
AU0000077893,COF
AU0000079212,AL3
AU0000081341,IXR
AU0000082489,MXG1
AU0000088064,WPR
AU0000088338,ALD
AU0000090128,TPG
AU0000090292,MKR
AU0000095416,4DX
AU0000102154,MVL
AU0000104374,NPM
AU0000109159,DUR
AU0000109910,CFE
AU0000114522,N9F
AU0000114977,BK4
AU0000115172,AAU
AU0000117285,SPA
AU0000119307,NXL
AU0000121337,HUM
AU0000122251,QPM
AU0000134694,FRB
AU0000137598,EPN
AU0000139990,GMG
AU0000141533,QML
AU0000142945,TMS
AU0000143729,SRL
AU0000145815,AM7
AU0000146961,OAK
AU0000147266,TOR
AU0000150898,PPM
AU0000151680,SHP
AU0000153256,AS2
AU0000153280,CNQ
AU0000154833,EDV
AU0000155228,MTM
AU0000155335,CRR
AU0000156416,EL8
AU0000157679,AII
AU0000158578,IND
AU0000159329,NXG
AU0000159840,KNI
AU0000166613,GW1
AU0000179707,DVP
AU0000180200,EV1
AU0000182263,NIM
AU0000182628,WR1
AU0000182784,ALA
AU0000183253,LRV
AU0000185993,IREN
AU0000186678,KLS
AU0000187239,AW1
AU0000187247,HAR
AU0000187569,FAL
AU0000189318,IPG
AU0000195380,ALM
AU0000195430,EIQ
AU0000196206,EVR
AU0000196891,CUF
AU0000198939,GRX
AU0000199929,1MC
AU0000200198,IAM
AU0000208910,IPX
AU0000210957,IG6
AU0000218190,C79
AU0000218307,ZIP
AU0000221251,LLL
AU0000222002,WS90
AU0000224040,WDS
AU0000240764,WMR0
AU0000250250,ETM
AU0000251258,PMT
AU0000251498,HLI
AU0000253502,RGN
AU0000253510,RG8
AU0000256646,UNT
AU0000265217,TVN
AU0000265381,AXN
AU0000272072,AOUEUR
AU0000273088,NGX
AU0000278103,LNW
AU0000291882,ABG
AU0000294233,6G40
AU0000294498,CC9
AU0000296022,1AI
AU0000297962,NEM
AU0000305468,KM1
AU0000305542,ION
AU0000305815,BRE
AU0000308157,GUE
AU0000310302,CCM
AU0000312480,SNT
AU0000317281,PER
AU0000317471,WTM
AU0000326647,RGT
AU0000329302,TM1
AU0000336679,GYG
AU0000338311,AAM
AU0000339426,AAI
AU0000340770,AOV
AU0000355000,ARI
AU0000355588,VAU
AU0000357261,NUZ
AU0000364754,SGH
AU0000365348,NMG
AU0000368748,NFM
AU0000369753,NH3
AU0000373201,UWC
AU0000380420,XYZ
AU0000390544,DNL
AU0000397705,GGP
AU0000400616,VGN
AU0000412231,HEGLF
AU0000413254,FUN
AU0000421851,ELV
AU0000421893,PL9
AU0000423501,PIJ0
AU0000434920,RG1
BE0003008019,BNB
BE0003215143,FLOB
BE0003463685,SUCR
BE0003470755,SA
